"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2024","31.300","30.508","31.332","30.223","","2.64%"
"09/18/2024","30.495","31.090","31.573","30.038","","-1.56%"
"09/17/2024","30.979","31.075","31.350","30.860","48.35K","-0.50%"
"09/16/2024","31.135","31.075","31.460","30.950","50.59K","-0.29%"
"09/15/2024","31.225","31.067","31.360","31.055","","0.49%"
"09/13/2024","31.074","30.230","31.280","30.190","84.16K","3.21%"
"09/12/2024","30.107","29.020","30.250","28.850","80.35K","4.08%"
"09/11/2024","28.928","28.725","29.215","28.390","69.78K","1.10%"
"09/10/2024","28.614","28.690","28.890","28.360","47.04K","-0.13%"
"09/09/2024","28.651","28.270","28.710","28.035","48.56K","1.66%"
"09/06/2024","28.183","29.155","29.470","28.010","89.00K","-3.15%"
"09/05/2024","29.099","28.630","29.550","28.535","64.09K","1.90%"
"09/04/2024","28.557","28.390","28.715","28.110","46.98K","0.75%"
"09/03/2024","28.344","29.240","29.350","28.055","91.64K","-1.92%"
"09/02/2024","28.898","29.247","29.350","28.705","","-1.20%"
"09/01/2024","29.250","29.188","29.260","29.185","","0.37%"
"08/30/2024","29.143","29.840","30.000","29.080","60.31K","-2.82%"
"08/29/2024","29.989","29.560","30.085","29.540","70.38K","1.22%"
"08/28/2024","29.628","30.430","30.545","29.505","52.52K","-2.62%"
"08/27/2024","30.426","30.375","30.545","30.145","34.97K","-0.09%"
"08/26/2024","30.453","30.325","30.670","30.120","30.32K","0.65%"
"08/23/2024","30.256","29.420","30.355","29.375","30.73K","2.66%"
"08/22/2024","29.471","30.045","30.135","29.215","27.82K","-1.67%"
"08/21/2024","29.971","29.910","30.205","29.660","13.96K","0.06%"
"08/20/2024","29.953","29.905","30.460","29.680","18.94K","0.74%"
"08/19/2024","29.732","29.505","29.950","29.200","14.90K","1.60%"
"08/16/2024","29.264","28.835","29.505","28.505","10.08K","1.51%"
"08/15/2024","28.828","27.990","28.985","27.940","14.63K","3.94%"
"08/14/2024","27.734","28.320","28.565","27.640","9.34K","-1.61%"
"08/13/2024","28.188","28.440","28.520","27.910","16.83K","-0.78%"
"08/12/2024","28.409","27.980","28.500","27.680","16.20K","1.53%"
"08/09/2024","27.982","28.010","28.235","27.725","17.60K","-0.07%"
"08/08/2024","28.002","27.075","28.075","26.885","15.58K","2.46%"
"08/07/2024","27.331","27.410","27.745","27.055","13.71K","-0.99%"
"08/06/2024","27.603","27.775","28.035","27.085","5.56K","0.03%"
"08/05/2024","27.596","29.140","29.220","26.975","10.30K","-4.19%"
"08/02/2024","28.802","29.050","29.755","28.480","6.66K","-0.34%"
"08/01/2024","28.899","29.585","29.685","28.780","6.26K","-1.59%"
"07/31/2024","29.367","28.965","29.610","28.850","5.21K","1.46%"
"07/30/2024","28.945","28.435","28.980","28.195","5.03K","2.35%"
"07/29/2024","28.280","28.480","28.745","27.855","5.45K","-0.55%"
"07/26/2024","28.436","28.400","28.620","28.180","5.14K","0.18%"
"07/25/2024","28.386","29.480","29.485","27.980","9.23K","-4.59%"
"07/24/2024","29.752","29.860","30.070","29.505","4.04K","-0.04%"
"07/23/2024","29.765","29.735","29.905","29.280","4.23K","0.03%"
"07/22/2024","29.756","29.820","30.040","29.385","4.32K","0.05%"
"07/19/2024","29.741","30.435","30.475","29.500","5.13K","-3.04%"
"07/18/2024","30.672","30.960","31.250","30.385","4.34K","-0.51%"
"07/17/2024","30.830","31.950","32.115","30.715","4.73K","-3.41%"
"07/16/2024","31.920","31.350","32.085","31.190","4.76K","1.68%"
"07/15/2024","31.392","31.520","31.780","31.215","3.21K","-0.72%"
"07/12/2024","31.621","32.145","32.145","31.080","3.62K","-1.59%"
"07/11/2024","32.131","31.555","32.460","31.555","3.77K","2.10%"
"07/10/2024","31.470","31.550","31.900","31.375","3.35K","-0.13%"
"07/09/2024","31.511","31.535","31.885","31.250","3.43K","0.45%"
"07/08/2024","31.370","31.925","32.100","31.160","5.01K","-2.41%"
"07/05/2024","32.146","31.260","32.240","30.945","7.09K","4.88%"
"07/04/2024","30.650","30.815","30.875","30.495","","-2.06%"
"07/03/2024","31.295","30.275","31.405","30.250","4.83K","4.00%"
"07/02/2024","30.092","30.210","30.555","29.925","2.23K","0.16%"
"07/01/2024","30.044","29.855","30.205","29.680","1.47K","0.18%"
"06/28/2024","29.990","29.715","30.390","29.520","2.86K","1.03%"
"06/27/2024","29.684","29.500","30.000","29.440","1.96K","1.46%"
"06/26/2024","29.256","29.280","29.415","28.900","56.44K","0.22%"
"06/25/2024","29.193","29.920","30.015","29.180","50.67K","-2.20%"
"06/24/2024","29.849","29.900","30.080","29.690","25.17K","-0.31%"
"06/21/2024","29.942","31.160","31.225","29.830","32.22K","-3.87%"
"06/20/2024","31.148","29.925","31.170","29.730","39.15K","4.45%"
"06/19/2024","29.820","29.602","29.860","29.410","","-0.21%"
"06/18/2024","29.883","29.870","30.065","29.305","20.94K","0.59%"
"06/17/2024","29.709","29.955","29.960","29.410","9.51K","-0.27%"
"06/14/2024","29.790","29.310","29.965","29.230","16.20K","1.39%"
"06/13/2024","29.381","30.135","30.135","29.045","28.22K","-3.96%"
